desertionNo,kindNm,age,sexCd,neuterYn,specialMark,careNm,careAddr,careTel,processState,age_group,species,mbti_label,filename
416506703007638.0,기타,2024(년생),M,Y,냉정하고 예민함. 혼자만의 공간을 선호함.,충청남도 동물보호센터,충청남도 천안시 동남구 성남면 화성리 65,041-573-0202,보호중,성체,cat,ISTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/273315904376114576.jpg
496768987198869.0,치와와,2024(년생),M,Y,현실적이고 활발함. 에너지가 넘침.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449,055-860-3974,보호중,성체,dog,ESTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/741675226626759643.jpg
436178003471317.0,말티즈,2024(년생),F,N,재기발랄하고 활발함. 누구와도 잘 어울림.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449,055-860-3974,보호중,성체,dog,ENFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/860162590841947855.jpg
449895908716722.0,한국 고양이,2026(60일미만)(년생),M,Y,사교적이고 명랑함. 주변을 즐겁게 만듦.,대구광역시 동물보호센터,대구광역시 달성군 다사읍 세천로 27-24,053-803-5410,보호중,새끼,cat,ENFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/461719281707443602.jpg
401579121330571.0,비글,2026(년생),M,N,아직 작지만 따뜻하고 배려심이 깊음. 사람과 함께 있는 것을 즐김.,전라남도 동물보호센터,전라남도 무안군 삼향면 남악3로 38,061-286-6861,보호중,새끼,dog,ESFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/593372513386399754.jpg
483860164576820.0,진도견,2026(년생),F,Y,아직 작지만 독립적이고 자기 의사 표현이 강함. 혼자 있는 것을 무서워함.,전라남도 동물보호센터,전라남도 무안군 삼향면 남악3로 38,061-286-6861,종료(반환),새끼,dog,INTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/987571070061938879.jpg
490452126970463.0,스피츠,2022(년생),F,N,차분하고 사람을 잘 따름. 믿음직함.,전라남도 동물보호센터,전라남도 무안군 삼향면 남악3로 38,061-286-6861,보호중,성체,dog,ESTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/388209640221637210.jpg
497626963874571.0,스피츠,2024(년생),F,Y,온순하고 얌전함. 사람을 잘 따름.,창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동),055-225-5701,보호중,성체,dog,ESTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/742377967667273266.jpg
421228939954808.0,스코티시폴드,2020(년생),F,Y,신중하고 온화함. 안정적인 환경을 선호함.,경기도 동물보호센터,경기도 수원시 권선구 오목천동 520,031-220-7471,보호중,성체,cat,ISFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/140874773910199794.jpg
415599477716315.0,한국 고양이,2023(년생),F,U,활발한 성체로 호기심 왕성하고 도전적임. 호기심이 많음.,경상북도 동물보호센터,경상북도 구미시 산동면 봉곡리 1,054-440-3690,보호중,성체,cat,ENTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/627861189192834402.jpg
