desertionNo,kindNm,age,sexCd,neuterYn,specialMark,careNm,careAddr,careTel,processState,age_group,species,mbti_label,filename
448567000000000.0,프렌치 불독,2017(년생),M,Y,나이가 들었지만 온순하고 느긋한 성격. 사람과 함께 있는 것을 즐김.,창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,055-225-5701,종료(반환),노령,dog,ESFJ,
448567000000000.0,믹스견,2026(년생),M,N,아직 어리지만 장난기가 많고 놀기를 좋아함. 사람과 함께 있는 것을 즐김.,창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,055-225-5701,보호중,새끼,dog,ESFP,
448567000000000.0,믹스견,2026(년생),F,N,아직 어리지만 예민하고 낯선 사람을 경계함. 혼자만의 공간을 선호함.,창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,055-225-5701,보호중,새끼,dog,ISTP,
448546000000000.0,믹스견,2026(60일미만)(년생),F,U,겁이 많음,함양군 동물보호센터,경상남도 함양군 함양읍 함양남서로 996-76  농업기술센터 부지내,055-960-8143,보호중,새끼,dog,ISTP,
448543000000000.0,믹스견,2026(60일미만)(년생),F,N,호기심 왕성한 새끼로 경계심이 있으나 천천히 마음을 열어감. 혼자 있는 것을 무서워함.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449  동물보호센터,055-860-3974,보호중,새끼,dog,INTP,
448543000000000.0,믹스견,2026(60일미만)(년생),F,N,아직 어리지만 독립적이고 자기 의사 표현이 강함. 한 번 마음을 열면 충실함.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449  동물보호센터,055-860-3974,보호중,새끼,dog,INTP,
448543000000000.0,진도견,2019(년생),M,N,충성심이 강하고 주인에게 헌신적임. 낯선 사람에게는 경계심이 강함.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449  동물보호센터,055-860-3974,보호중,성체,dog,ISTJ,
448541000000000.0,믹스견,2025(년생),F,N,아직 어리지만 예민하고 낯선 사람을 경계함. 혼자만의 공간을 선호함.,창녕 유기동물보호소,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,010-5488-5003,보호중,새끼,dog,ISTP,
448541000000000.0,믹스견,2021(년생),F,N,온순하고 사람을 잘 따름. 겁이 약간 있으나 금방 적응함.,창녕 유기동물보호소,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,010-5488-5003,보호중,성체,dog,ESFJ,
448534000000000.0,믹스견,2022(년생),M,N,예민하고 낯선 사람을 경계함. 혼자만의 공간을 선호함.,사천시 동물보호센터,경상남도 사천시 용현면 진삼로 902  사천시유기동물보호소,055-831-3768,보호중,성체,dog,ISTJ,
