desertionNo,kindNm,age,sexCd,neuterYn,specialMark,careNm,careAddr,careTel,processState,age_group,species
4.48567E+14,프렌치 불독,2017(년생),M,Y,나이가 들었지만 온순하고 느긋한 성격. 사람과 함께 있는 것을 즐김.,창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,055-225-5701,종료(반환),노령,dog
4.48567E+14,믹스견,2026(년생),M,N,아직 어리지만 장난기가 많고 놀기를 좋아함. 사람과 함께 있는 것을 즐김.,창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,055-225-5701,보호중,새끼,dog
4.48567E+14,믹스견,2026(년생),F,N,아직 어리지만 예민하고 낯선 사람을 경계함. 혼자만의 공간을 선호함.,창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,055-225-5701,보호중,새끼,dog
4.48546E+14,믹스견,2026(60일미만)(년생),F,U,겁이 많음,함양군 동물보호센터,경상남도 함양군 함양읍 함양남서로 996-76  농업기술센터 부지내,055-960-8143,보호중,새끼,dog
4.48543E+14,믹스견,2026(60일미만)(년생),F,N,호기심 왕성한 새끼로 경계심이 있으나 천천히 마음을 열어감. 혼자 있는 것을 무서워함.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449  동물보호센터,055-860-3974,보호중,새끼,dog
4.48543E+14,믹스견,2026(60일미만)(년생),F,N,아직 어리지만 독립적이고 자기 의사 표현이 강함. 한 번 마음을 열면 충실함.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449  동물보호센터,055-860-3974,보호중,새끼,dog
4.48543E+14,진도견,2019(년생),M,N,충성심이 강하고 주인에게 헌신적임. 낯선 사람에게는 경계심이 강함.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449  동물보호센터,055-860-3974,보호중,성체,dog
4.48541E+14,믹스견,2025(년생),F,N,아직 어리지만 예민하고 낯선 사람을 경계함. 혼자만의 공간을 선호함.,창녕 유기동물보호소,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,010-5488-5003,보호중,새끼,dog
4.48541E+14,믹스견,2021(년생),F,N,온순하고 사람을 잘 따름. 겁이 약간 있으나 금방 적응함.,창녕 유기동물보호소,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,010-5488-5003,보호중,성체,dog
4.48534E+14,믹스견,2022(년생),M,N,예민하고 낯선 사람을 경계함. 혼자만의 공간을 선호함.,사천시 동물보호센터,경상남도 사천시 용현면 진삼로 902  사천시유기동물보호소,055-831-3768,보호중,성체,dog
4.48533E+14,믹스견,2026(년생),M,N,아직 어리지만 독립적이고 자기 의사 표현이 강함. 한 번 마음을 열면 충실함.,통영시동물보호센터,경상남도 통영시 광도면 전두1길 9-8  ,055-650-6250,보호중,새끼,dog
4.48533E+14,비숑 프리제,2023(년생),M,Y,애교가 넘치고 사람을 좋아함. 활발하게 놀기를 즐김.,통영시동물보호센터,경상남도 통영시 광도면 전두1길 9-8  ,055-650-6250,종료(자연사),성체,dog
4.47511E+14,믹스견,2025(년생),F,N,"맨몸상태 온순함, 약간의 피부병",상주시 동물보호센터,경상북도 상주시 사벌국면 상풍로 124  ,010-6682-1198,보호중,새끼,dog
4.47511E+14,믹스견,2025(년생),F,N,"초록색 목줄 착용, 겁이 많음",상주시 동물보호센터,경상북도 상주시 사벌국면 상풍로 124  ,010-6682-1198,보호중,새끼,dog
4.47511E+14,믹스견,2025(년생),F,N,맨몸상태 온순함 ,상주시 동물보호센터,경상북도 상주시 사벌국면 상풍로 124  ,010-6682-1198,보호중,새끼,dog
4.4751E+14,믹스견,2024(년생),F,N,순한편,영천유기동물보호센터,"경상북도 영천시 천문로 622-13 (오미동, 영천시농업기술센터) ",054-339-7177,보호중,성체,dog
4.47508E+14,믹스견,2020(년생),F,N,온순하며 사람을 잘따름,구미시 동물보호센터,경상북도 구미시 옥성면 선상동로 1358  애니멀 케어 센터,054-481-5809,보호중,성체,dog
4.47506E+14,믹스견,2024(년생),M,N,"덩치 크고 온순함, 사람을 잘 따름",김천시 동물보호센터,경상북도 김천시 구성면 남김천대로 3296-22  하강리 44(김천시 유기동물보호센터),054-421-2547,보호중,성체,dog
4.47506E+14,믹스견,2026(60일미만)(년생),M,N,어리고 순함,김천시 동물보호센터,경상북도 김천시 구성면 남김천대로 3296-22  하강리 44(김천시 유기동물보호센터),054-421-2547,보호중,새끼,dog
4.47506E+14,믹스견,2026(60일미만)(년생),M,N,어리고 순함,김천시 동물보호센터,경상북도 김천시 구성면 남김천대로 3296-22  하강리 44(김천시 유기동물보호센터),054-421-2547,보호중,새끼,dog
4.47505E+14,믹스견,2023(년생),F,N,사납고 경계심 강함. 만지기 어려움.,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,성체,dog
4.47505E+14,믹스견,2023(년생),F,N,발견당시 주황색 목줄 착용. 사람 잘 따르지만 겁이 많음.,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,성체,dog
4.47505E+14,믹스견,2023(년생),M,N,경계심이 있으나 천천히 마음을 열어감. 혼자 있는 것을 무서워함.,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,성체,dog
4.46492E+14,믹스견,2023(년생),F,U,기질이 온순하여 사람을 잘 따르고 얌전함,강진군 유기견 보호소,"전라남도 강진군 강진읍 초지길 109-62 (강진읍, 강진군상하수도사업소) ",061-430-3237,보호중,성체,dog
